sex,address,famsize,Pstatus,traveltime,studytime,schoolsup,activities,famrel,freetime,Test-1,Test-2,Final-Test
1,1,0,1,1,1,0,1,5,4,14,14,15
1,0,0,1,2,2,0,1,5,2,12,11,11
1,1,0,1,0,1,0,0,3,4,14,13,14
0,1,0,1,0,2,0,0,3,2,14,14,14
1,1,0,1,0,4,0,1,5,5,14,13,13
0,1,1,1,1,2,0,1,4,2,14,12,13
1,1,0,1,0,1,0,1,3,4,12,13,13
0,1,0,1,0,2,0,0,5,4,12,11,11
1,1,0,1,0,1,1,0,5,5,9,9,9
0,1,1,0,0,2,1,1,5,3,10,11,11
0,1,0,1,0,2,0,0,3,4,9,10,11
1,0,0,1,0,1,0,1,3,5,14,14,15
1,1,0,1,1,3,0,0,3,2,13,12,13
0,0,0,1,1,3,0,0,4,2,10,11,12
0,1,0,1,0,2,0,1,5,4,10,9,8
0,1,1,0,2,1,0,0,3,2,11,10,11
0,1,0,1,2,1,0,1,4,3,11,12,13
0,1,1,1,0,1,0,0,3,4,13,12,12
0,1,0,0,0,1,0,0,3,2,15,13,14
1,1,0,1,3,1,0,0,3,2,9,9,11
0,1,0,0,0,1,0,0,5,3,13,11,11
1,0,0,1,3,2,0,0,5,3,12,11,11
0,1,0,1,0,3,0,1,4,3,13,14,15
1,0,0,1,2,2,0,0,5,4,10,9,10
0,0,0,1,3,2,0,0,5,1,14,13,13
1,1,1,1,1,1,0,1,3,3,11,11,12
0,1,0,0,0,3,0,1,4,3,12,11,11
0,0,0,1,1,1,0,1,3,3,12,11,11
0,1,0,0,1,1,0,1,4,3,9,9,10
1,1,1,1,0,2,0,0,4,4,10,10,10
0,1,0,1,1,1,0,1,4,3,13,14,14
0,0,0,1,2,1,0,1,5,5,8,9,9
1,1,0,1,1,4,1,0,2,2,9,11,11
0,1,0,0,0,2,0,0,1,3,9,8,9
1,1,0,1,0,3,0,1,5,3,15,13,13
1,1,1,1,1,1,0,1,2,3,12,11,11
0,1,0,1,0,3,0,1,4,2,13,13,13
0,1,1,1,0,1,0,0,3,4,10,11,11
1,1,0,1,0,1,0,0,5,4,9,7,6
0,1,0,1,0,2,0,0,4,4,12,12,12
0,1,1,0,1,1,0,1,4,4,11,10,10
0,1,0,1,0,2,0,0,3,3,11,11,11
0,1,0,1,0,2,0,0,4,3,13,12,13
0,1,0,1,0,2,0,0,2,3,11,11,11
1,1,0,1,0,1,0,0,3,3,9,9,8
1,1,1,0,3,1,0,0,4,5,12,11,11
1,1,1,1,0,1,0,0,2,3,11,9,0
1,1,1,1,0,1,0,1,4,4,9,10,10
0,0,0,1,1,3,0,1,4,2,13,13,13
1,1,0,1,0,1,0,0,4,5,11,9,11
0,1,0,1,0,1,1,0,4,2,13,13,13
1,0,0,1,0,2,1,1,4,4,7,8,8
1,0,1,1,0,1,0,0,2,2,9,8,10
0,0,0,1,2,1,0,1,5,2,11,10,11
1,0,0,1,2,1,0,0,4,2,12,10,11
1,1,0,1,0,2,0,0,4,5,10,10,1
1,1,1,1,1,1,0,0,4,4,9,8,10
1,0,1,1,1,1,0,1,3,3,8,8,9
1,0,0,1,1,2,1,0,4,4,7,6,8
1,1,1,1,1,1,0,1,4,4,8,9,10
1,1,0,1,0,1,0,0,5,3,9,8,8
1,0,1,1,3,2,0,1,5,3,8,8,8
1,1,0,1,1,1,0,1,4,5,8,7,8
1,1,0,1,0,2,0,0,4,3,9,10,11
0,1,0,1,0,2,0,0,4,2,17,17,18
0,1,0,1,0,2,0,0,5,1,12,12,13
0,1,0,1,0,2,0,0,4,4,16,16,17
1,1,0,1,2,1,0,1,3,4,9,9,10
1,1,0,1,1,2,0,1,4,3,16,17,18
1,1,1,1,0,2,0,1,4,4,11,9,10
0,1,0,1,0,2,0,1,4,3,14,13,13
0,1,1,1,1,2,0,1,4,4,14,14,15
1,1,1,1,1,2,0,1,4,4,10,11,11
0,1,0,1,1,2,0,1,3,4,13,12,14
1,1,0,1,0,2,0,1,4,3,11,9,10
1,0,0,1,0,1,0,1,4,3,10,9,11
1,1,0,1,0,2,0,1,5,2,11,11,13
1,1,0,1,0,2,0,1,3,4,11,10,11
1,1,0,1,0,2,0,1,4,2,11,12,13
0,1,0,1,0,2,0,1,5,4,17,18,17
0,1,1,1,0,2,0,1,5,3,14,13,14
0,1,0,1,0,2,0,0,1,2,14,15,16
1,1,0,1,0,2,0,1,4,3,11,13,14
1,1,0,1,0,1,0,1,3,3,10,9,11
1,1,1,1,0,2,0,1,4,2,13,14,16
0,1,0,0,0,2,0,0,3,3,12,13,14
1,0,0,1,0,2,0,0,3,1,9,9,10
0,1,0,1,0,2,0,0,4,3,12,12,13
0,1,0,1,0,2,0,1,5,3,12,11,12
1,1,0,1,1,2,0,1,4,4,10,11,12
1,0,0,1,0,1,0,1,4,3,11,10,10
1,1,0,1,1,1,0,0,5,3,13,12,12
0,1,1,1,0,2,0,1,4,3,14,15,16
1,1,0,1,0,1,0,0,5,2,13,13,14
1,0,1,1,2,1,0,1,3,3,10,11,12
0,1,0,1,1,1,0,0,4,2,14,15,16
0,1,1,1,0,2,0,0,4,5,11,10,11
0,1,0,1,0,2,0,1,4,3,14,14,15
0,1,0,1,0,2,1,1,4,4,11,12,12
0,1,0,1,0,2,0,0,4,4,14,15,15
0,0,0,1,0,1,0,0,5,3,13,13,13
0,0,0,1,1,4,0,1,5,3,13,13,13
0,1,0,1,0,3,0,0,4,4,8,9,8
0,1,0,0,0,2,0,0,2,3,11,11,12
0,1,0,1,0,2,0,1,1,3,14,15,15
0,1,0,1,1,1,0,0,4,3,12,13,13
0,0,0,1,1,3,0,1,4,4,11,12,12
0,1,0,1,0,4,0,1,4,3,12,12,12
1,1,1,1,0,2,0,0,5,3,13,12,12
0,1,0,0,0,2,1,0,3,3,13,13,13
1,1,0,1,0,2,0,1,4,4,12,11,11
0,0,1,1,0,1,0,0,5,2,12,11,11
0,1,1,1,1,2,0,0,4,4,14,16,15
0,1,0,1,0,2,0,0,3,4,11,9,10
1,1,1,1,0,2,0,0,3,2,10,10,10
0,1,0,1,1,1,0,0,3,3,12,13,13
0,1,0,1,0,3,0,1,4,3,12,12,13
0,0,0,1,1,2,0,1,4,2,11,10,11
0,1,0,1,0,3,0,1,4,3,12,12,12
0,1,0,1,0,2,1,0,2,3,13,13,14
1,1,0,1,1,2,0,0,3,3,10,9,10
0,1,0,1,0,3,0,1,5,3,15,16,16
0,0,0,1,0,2,0,1,5,3,8,8,8
0,1,0,1,0,2,0,1,5,3,17,18,17
1,1,1,1,0,2,0,0,5,3,10,11,11
1,1,1,1,3,2,1,1,4,3,9,10,11
0,1,0,0,1,3,0,1,3,2,15,15,16
0,1,1,1,0,2,0,1,3,2,14,12,12
1,0,0,1,1,2,0,1,4,5,12,13,13
1,1,0,1,0,2,1,1,4,5,13,13,13
1,1,0,1,0,2,0,1,4,2,13,13,14
1,1,1,1,1,2,0,0,3,4,9,9,9
1,1,0,1,1,3,0,1,5,3,12,12,12
1,1,1,1,0,2,0,1,4,4,16,16,16
0,1,0,1,0,1,0,0,4,5,9,10,10
0,1,0,0,0,2,0,1,5,3,14,13,13
0,1,1,0,1,2,0,0,4,3,10,10,10
0,1,1,1,0,2,0,0,5,3,9,8,10
0,1,0,1,1,1,0,0,4,1,8,7,7
1,1,0,1,0,1,0,1,4,4,7,8,8
1,1,0,1,0,1,0,1,4,2,10,8,9
0,1,0,1,0,2,0,1,5,4,14,14,15
0,1,1,1,0,3,0,1,4,3,11,10,10
0,1,0,1,0,1,0,0,5,3,12,11,11
0,0,0,1,2,2,0,1,2,1,13,13,13
0,0,1,0,3,1,0,0,5,5,9,9,8
1,1,0,1,0,2,0,0,5,5,8,7,8
0,1,1,0,0,1,0,0,3,1,11,9,10
0,0,1,1,1,3,0,1,4,3,15,14,15
0,1,1,0,0,2,0,1,4,3,15,14,14
1,1,1,1,1,2,0,1,2,5,15,15,15
1,0,1,0,1,2,0,0,3,3,12,12,12
1,1,1,1,0,1,0,1,5,4,14,14,15
1,1,0,1,0,1,0,1,5,3,14,15,15
0,1,0,1,0,2,0,0,5,3,11,11,12
1,0,0,1,1,3,0,0,4,3,13,14,15
0,1,0,1,1,3,0,0,4,2,11,11,11
0,1,0,1,0,2,1,0,4,3,10,9,10
0,1,0,1,1,3,0,0,4,4,12,10,11
1,1,0,1,2,1,0,0,4,3,15,16,16
0,1,0,1,0,2,0,0,4,3,11,10,11
1,1,0,1,1,1,0,0,5,2,9,12,13
1,1,0,1,0,1,0,0,5,4,7,8,5
1,0,1,1,0,2,0,0,4,3,10,9,10
1,1,0,1,0,1,0,0,4,3,11,12,11
1,1,0,1,1,1,0,0,4,4,7,8,7
1,1,0,1,2,2,1,0,5,3,9,11,10
1,1,0,1,0,1,0,0,3,2,7,8,6
1,0,0,1,1,1,0,1,3,3,14,13,12
1,0,0,1,0,1,0,0,4,4,12,12,13
1,1,1,1,1,1,0,1,4,4,9,10,10
0,1,1,0,0,2,0,0,4,3,12,12,13
0,1,1,1,0,4,0,1,4,2,14,15,17
0,1,0,1,0,2,0,0,4,3,10,10,11
1,1,1,1,2,2,0,1,4,4,11,10,11
0,0,0,1,0,3,0,1,4,3,11,12,14
0,1,1,1,0,3,0,0,4,4,11,12,14
0,0,0,1,0,2,1,0,3,2,11,11,13
1,1,1,0,0,2,0,0,4,3,11,13,14
1,1,0,1,0,2,0,1,5,2,16,16,16
1,0,0,1,1,1,0,0,5,2,9,10,10
0,1,1,1,0,4,0,1,3,4,10,11,12
0,0,0,1,1,2,0,1,1,2,10,12,12
0,1,0,1,0,2,0,0,3,1,15,15,15
1,1,0,1,0,2,0,0,4,3,10,10,11
1,0,0,1,0,3,0,1,5,3,10,11,12
0,1,0,1,0,3,0,1,3,2,15,12,13
0,1,0,1,0,3,0,1,4,3,11,12,13
1,1,0,1,1,1,0,0,4,4,8,8,9
1,0,1,0,1,2,0,1,4,2,15,16,16
1,1,0,1,0,2,0,1,5,4,11,11,14
0,0,0,1,1,2,0,1,4,3,10,11,12
1,1,0,1,0,2,0,1,5,4,10,12,14
0,0,0,1,1,2,0,0,4,3,8,9,10
0,1,0,1,0,2,0,1,4,3,11,12,12
0,1,0,1,0,4,0,1,4,5,16,16,16
0,1,1,1,1,2,0,0,4,4,13,13,13
1,0,0,1,0,2,0,1,3,5,16,17,18
0,1,0,1,0,2,0,0,4,2,14,14,15
0,1,0,1,1,2,0,0,4,3,15,16,16
0,1,1,1,1,2,1,0,4,4,12,12,12
0,0,0,0,1,2,0,0,4,1,12,9,10
1,1,0,1,1,1,0,1,3,2,11,12,12
0,1,0,1,0,2,1,1,2,4,14,12,13
0,1,0,1,2,3,0,0,4,2,13,15,15
0,0,0,1,0,2,1,0,3,3,9,8,10
1,1,1,1,1,1,0,1,4,2,10,10,10
1,1,0,1,1,1,0,0,3,4,10,10,11
1,1,1,0,1,1,0,1,4,5,11,11,10
1,1,1,0,0,1,0,0,4,4,13,13,13
0,0,1,1,1,4,0,1,5,2,17,17,18
0,1,0,1,1,2,1,1,5,4,12,13,13
0,1,0,1,0,2,0,0,5,4,12,12,14
0,1,0,1,1,2,0,1,4,3,12,13,14
1,1,0,1,0,2,0,0,4,3,12,12,12
0,1,0,1,0,3,0,0,4,3,18,18,18
0,1,0,1,0,3,0,0,4,3,13,13,14
1,1,0,1,0,3,0,1,4,2,14,15,15
1,1,1,0,0,2,0,1,5,4,17,17,17
1,1,0,1,0,2,0,1,4,3,15,16,16
0,1,0,1,0,3,0,0,4,2,17,18,18
0,0,1,1,1,4,0,0,3,1,18,19,19
1,0,1,1,1,3,0,1,5,4,14,15,15
1,1,0,1,0,1,0,0,4,4,14,15,15
0,1,0,1,1,2,0,1,2,3,14,13,13
0,1,1,1,1,2,0,0,4,4,13,14,14
0,1,0,1,0,4,0,0,4,3,16,17,17
1,1,1,1,0,1,0,0,1,4,18,18,17
0,1,1,0,0,2,0,0,4,2,14,15,15
1,1,1,1,1,1,0,0,4,1,12,13,13
0,0,0,1,1,3,0,1,5,3,7,7,8
0,1,0,1,1,3,0,0,4,3,16,16,16
0,1,0,1,0,4,0,1,5,2,18,18,18
1,0,1,1,1,3,0,1,4,3,9,10,11
1,1,0,0,0,1,0,1,5,5,14,15,15
1,0,0,1,0,2,0,1,4,5,10,10,11
0,1,0,1,0,2,1,0,3,4,10,10,11
0,1,0,1,1,2,0,1,5,3,12,12,15
0,1,0,1,1,2,0,1,4,2,11,12,14
0,0,0,1,0,1,0,1,4,4,15,16,17
0,1,0,1,0,3,0,1,4,3,14,15,17
0,1,1,1,1,1,0,0,3,2,12,12,15
0,0,0,1,0,3,0,1,4,3,15,15,17
0,1,0,1,0,2,0,0,4,1,11,12,14
1,1,0,1,1,2,0,1,5,4,11,10,10
0,1,0,1,0,2,0,0,4,4,12,11,13
0,1,0,1,0,1,0,1,5,4,11,12,14
0,1,0,1,0,1,0,1,5,3,14,15,17
0,1,0,0,0,2,0,0,5,2,15,14,17
0,1,1,0,0,2,1,0,5,3,12,12,13
0,1,1,1,0,2,0,1,4,2,11,12,14
1,1,1,1,0,1,0,0,4,2,8,9,11
0,1,0,1,2,3,0,1,1,5,10,10,11
0,1,1,0,2,2,0,0,5,3,8,8,9
0,1,0,1,0,1,0,1,4,3,10,10,10
0,1,0,1,0,2,0,0,4,2,14,13,13
0,0,1,1,0,3,0,1,3,3,11,11,10
0,1,0,1,0,3,0,0,3,4,17,18,17
0,1,1,1,1,3,0,0,3,3,14,14,15
0,1,0,1,1,3,0,1,4,5,14,14,14
1,1,0,1,0,3,0,1,4,3,13,14,13
1,1,0,1,0,1,0,1,4,3,17,18,17
1,0,0,1,3,1,0,0,4,4,11,10,10
0,1,0,1,0,3,0,1,5,4,13,12,13
0,1,0,1,1,3,0,0,4,3,15,14,15
0,1,0,1,0,1,0,1,4,2,11,12,11
1,1,1,1,0,4,0,1,4,5,11,11,12
1,0,0,1,0,1,0,0,5,3,11,10,10
0,1,0,1,3,2,0,1,4,2,10,9,10
0,0,0,1,0,3,0,0,4,4,15,15,15
1,1,0,1,0,1,0,0,5,4,15,14,15
0,1,0,1,0,2,0,1,5,3,10,11,12
0,1,1,1,0,2,0,1,4,3,10,9,12
0,0,0,1,1,4,0,1,4,4,14,13,14
0,1,0,1,0,3,0,0,4,4,11,13,14
0,1,0,1,0,2,0,0,4,3,12,13,15
0,1,1,1,0,4,0,0,5,3,14,14,15
0,0,0,0,0,2,0,0,4,3,14,14,16
1,1,0,1,0,2,0,1,4,3,12,12,13
1,1,1,1,0,2,0,1,4,3,16,16,17
0,1,0,0,0,2,0,0,3,3,10,12,14
0,1,0,1,0,3,0,0,4,3,11,12,14
0,1,0,1,0,3,0,0,5,4,14,16,17
1,0,0,1,0,3,0,0,5,3,15,14,17
1,1,0,1,0,3,0,0,5,4,14,13,14
0,1,0,1,0,3,0,1,4,4,11,12,13
0,1,0,1,1,2,0,1,4,3,12,15,15
0,1,0,1,0,2,0,1,4,3,12,16,16
0,1,1,0,1,1,0,0,2,2,10,11,11
0,1,0,1,0,1,0,0,4,1,10,13,13
0,1,1,1,0,3,0,1,3,3,9,12,12
1,1,1,1,0,2,0,1,4,4,9,11,12
1,1,1,0,0,2,0,1,4,3,13,14,15
0,1,0,1,0,2,0,1,4,3,13,17,17
1,1,1,0,0,3,0,0,4,4,12,15,15
0,1,1,1,0,2,0,1,4,2,14,17,17
1,0,1,1,1,2,0,1,5,3,9,10,10
0,0,0,1,1,3,0,0,3,2,11,15,15
0,1,0,1,0,1,0,0,3,2,9,10,11
1,1,1,0,0,2,0,0,4,4,16,18,18
0,1,0,1,0,3,0,0,4,3,14,17,17
1,0,0,1,0,1,0,0,3,1,13,14,14
1,1,0,1,0,1,0,0,5,3,7,11,11
0,1,1,0,1,2,0,0,4,1,14,17,17
0,1,0,1,1,1,1,0,5,3,8,10,10
0,1,0,1,0,2,0,1,3,1,10,13,13
0,1,0,1,1,1,0,0,4,3,10,11,11
0,0,0,1,1,2,0,1,4,4,12,12,12
0,0,0,1,0,1,0,0,4,1,10,10,10
0,0,0,1,1,1,0,0,5,4,10,10,11
0,0,0,1,1,2,0,0,4,5,16,17,17
0,0,1,1,1,1,0,0,1,3,6,8,9
1,0,1,0,0,2,0,0,5,3,10,11,11
1,1,0,0,0,3,1,0,4,4,10,11,11
0,0,0,1,0,2,0,0,4,5,10,10,10
0,0,0,1,0,1,0,0,5,4,6,6,7
0,0,0,1,1,1,0,0,1,5,13,14,14
0,1,1,0,1,4,0,1,1,2,10,9,11
0,0,1,1,1,2,0,0,5,4,10,10,10
0,0,1,1,1,1,0,0,4,4,6,7,8
0,0,0,1,1,1,0,1,3,2,12,11,12
0,0,0,1,1,1,0,0,5,5,10,11,12
0,0,0,1,1,1,0,0,4,1,14,16,16
1,1,0,1,1,2,0,1,5,4,7,0,0
1,1,0,1,0,2,0,0,4,4,8,9,9
1,0,1,1,0,2,0,1,5,3,12,13,14
1,0,1,1,0,2,0,1,5,3,7,9,8
1,0,0,1,2,2,0,0,3,4,9,10,11
1,0,0,1,3,2,0,1,5,4,7,9,9
1,1,1,1,0,2,0,1,5,3,11,11,11
1,0,0,1,2,1,0,1,5,5,8,10,9
0,0,0,1,1,3,0,1,4,2,16,16,17
0,0,0,1,1,1,0,0,5,1,11,13,13
0,0,0,1,2,2,0,0,4,5,15,15,15
1,0,0,1,1,2,0,0,4,3,10,11,11
0,0,0,1,2,2,0,0,4,4,9,10,11
0,1,0,1,0,3,0,0,1,3,10,8,8
0,1,0,1,0,3,0,0,1,3,9,8,8
0,1,0,1,0,2,1,0,4,4,9,10,9
0,1,0,1,0,2,0,0,5,4,13,14,15
1,0,1,1,0,1,0,1,5,5,10,11,11
0,0,0,1,3,4,0,0,4,3,13,10,13
0,0,0,1,3,3,1,0,4,4,10,9,10
0,0,0,1,1,2,0,1,4,3,11,10,11
0,0,0,1,1,1,0,1,4,2,13,12,14
0,0,0,1,2,2,0,0,4,2,13,14,14
0,0,1,1,0,3,1,0,4,4,14,11,12
1,0,0,1,1,1,0,1,3,4,11,11,11
0,1,0,1,0,2,0,1,3,4,9,8,8
1,1,0,1,1,1,0,0,3,2,10,9,11
0,0,0,1,2,2,0,1,5,3,14,13,14
1,1,0,1,2,1,0,0,4,3,13,12,13
1,1,0,1,0,2,0,1,4,3,13,12,13
0,0,0,1,0,2,0,0,4,5,13,12,12
0,0,0,1,1,2,0,1,4,4,12,11,12
0,0,1,1,2,1,0,1,4,3,14,14,16
1,1,1,1,1,1,0,1,2,4,10,8,10
1,0,1,1,2,1,0,1,4,2,10,11,11
0,1,0,1,1,3,0,1,5,3,12,13,14
0,0,1,1,0,1,0,0,5,4,10,8,8
1,1,0,1,1,1,0,1,4,3,12,10,11
0,0,0,1,1,2,1,0,3,4,7,7,8
0,1,0,1,0,1,0,1,4,5,9,9,10
0,1,0,1,0,1,0,0,4,4,9,9,10
0,0,0,1,2,1,0,1,5,5,9,10,11
0,0,1,1,1,1,0,0,5,2,9,10,9
0,0,0,1,2,2,0,0,3,4,9,10,11
0,1,1,0,0,1,0,0,4,3,7,7,8
0,0,0,1,1,2,0,0,4,3,11,10,11
0,1,0,1,0,1,0,1,4,4,9,10,10
0,0,1,0,1,3,0,0,3,3,7,9,10
0,1,0,1,0,3,0,1,5,3,7,9,9
1,0,0,1,1,1,0,1,4,4,8,9,10
0,0,0,1,1,1,0,0,3,2,9,11,10
0,1,0,1,1,2,0,0,1,1,7,8,9
0,0,0,0,0,2,0,0,3,3,8,10,10
0,1,0,1,1,1,0,1,2,4,9,9,10
0,0,1,1,0,2,0,1,4,4,8,9,9
0,1,0,1,0,1,0,1,4,5,14,13,13
0,0,1,1,0,1,0,1,4,4,14,14,14
1,1,0,1,1,4,0,1,5,4,10,11,10
0,1,0,1,0,2,0,1,5,3,14,13,14
0,1,0,1,0,1,0,1,4,2,17,16,16
1,1,0,1,0,1,0,1,5,3,6,7,7
1,1,1,1,0,1,0,1,4,2,14,12,13
1,0,1,1,2,4,0,0,1,3,10,8,9
0,1,0,1,0,4,1,1,2,2,14,14,14
0,1,1,1,0,3,0,0,5,4,12,13,13
0,0,0,1,1,1,0,1,4,4,11,11,11
0,1,0,1,1,2,0,1,3,3,11,9,10
0,1,1,1,0,3,0,0,4,3,11,11,10
1,0,0,1,2,1,0,0,4,4,10,9,9
0,0,1,1,2,2,0,0,5,3,16,17,18
0,0,0,1,1,2,0,1,5,3,15,17,17
0,1,0,0,1,2,0,0,4,4,11,9,10
0,0,0,1,0,2,0,0,4,3,7,7,7
0,1,0,1,0,1,0,1,3,1,8,6,8
0,1,0,1,0,1,0,0,3,1,7,6,7
0,1,1,1,1,2,1,0,2,3,9,8,10
0,0,0,1,0,2,0,1,4,3,14,16,16
0,0,1,1,1,1,0,1,5,4,14,14,15
0,1,0,0,0,2,0,0,2,3,8,5,8
1,0,0,1,1,2,0,1,5,2,8,7,0
0,1,1,1,2,2,0,0,4,3,6,8,8
0,0,0,1,1,2,0,1,3,3,8,10,10
0,1,0,1,0,2,0,0,4,3,8,8,8
1,1,1,1,0,4,0,1,5,5,5,6,6
0,0,1,1,2,2,0,0,4,2,7,9,8
1,1,1,1,0,3,0,0,4,4,15,14,16
0,0,0,1,0,1,0,0,4,2,13,14,14
1,1,1,1,3,3,0,0,5,1,10,9,10
0,0,0,1,0,1,0,0,5,1,9,9,9
0,1,1,1,1,1,0,0,5,1,11,11,11
1,1,0,1,0,1,0,1,4,1,7,10,9
1,1,0,1,2,2,0,0,5,1,10,10,10
1,1,0,1,1,2,0,0,4,2,9,7,8
0,1,1,1,0,2,0,0,3,2,14,15,16
